,names,labels
2326,../Dataset_new/Exposedbars/VA_3.0_1.0_0.8_1.0_2.4_3217955v0.jpeg717315179772.png,Exposedbars
2989,../Dataset_new/Exposedbars/VA_3.0_0.6_0.8_1.0_1.44_3217629v0.jpeg833325471844.png,Exposedbars
2108,../Dataset_new/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217909v0.jpeg1051476220163.png,Corrosionstain
773,../Dataset_new/Cracks/VA0383201611302962.jpg625925711442.png,Cracks
2498,../Dataset_new/Exposedbars/VA_3.0_0.4_0.5_1.0_0.6_3217468v0.jpeg86518194101.png,Exposedbars
1146,../Dataset_new/Cracks/MS0226201711031391.jpg12634452981.png,Cracks
937,../Dataset_new/Cracks/VA1076201606212513.jpg8260230540.png,Cracks
2721,../Dataset_new/Exposedbars/VA_3.0_0.6_0.5_1.0_0.9_3217525v2.jpeg101139719971035.png,Exposedbars
3412,../Dataset_new/Spalling/VA_3.0_0.6_0.5_1.0_0.9_3217881v2.jpeg866177558204.png,Spalling
1707,../Dataset_new/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217914v1.jpeg1225379204133.png,Corrosionstain
1211,../Dataset_new/Cracks/VA0174201612041328.jpg63815231267.png,Cracks
1241,../Dataset_new/Cracks/VA0235201710121450.jpg504559169130.png,Cracks
2402,../Dataset_new/Exposedbars/VA_3.0_1.0_1.0_1.0_2.1_3217464v1.jpeg568617509187.png,Exposedbars
1786,../Dataset_new/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217939v0.jpeg523112169298.png,Corrosionstain
2678,../Dataset_new/Exposedbars/VA_3.0_0.6_0.5_1.0_0.9_3217414v0.jpeg5212928170.png,Exposedbars
3268,../Dataset_new/Spalling/VA_3.0_1.0_0.8_1.0_2.4_3217955v1.jpeg415292321836.png,Spalling
3351,../Dataset_new/Spalling/VA_3.0_0.4_0.5_1.0_0.6_3217893v6.jpeg1142458388606.png,Spalling
247,../Dataset_new/Cracks/VA0050201710121008.jpg1256351543185.png,Cracks
3120,../Dataset_new/Exposedbars/VA_3.0_0.8_0.5_1.0_1.2_3217798v1.jpeg501434923577.png,Exposedbars
3248,../Dataset_new/Spalling/MS0227201710261382.jpg128111605227.png,Spalling
2286,../Dataset_new/Corrosionstain/VA_3.0_1.0_0.8_1.0_1.68_3217709v0.jpeg42819364106.png,Corrosionstain
3387,../Dataset_new/Spalling/VA_3.0_0.6_0.5_1.0_0.9_3217622v0.jpeg235298589351.png,Spalling
960,../Dataset_new/Cracks/VA1088201610062702.jpg7630199684.png,Cracks
1483,../Dataset_new/Corrosionstain/VA0284201706271466.jpg15931127207108.png,Corrosionstain
2686,../Dataset_new/Exposedbars/VA_3.0_0.6_0.5_1.0_0.9_3217422v0.jpeg460481216324.png,Exposedbars
3011,../Dataset_new/Exposedbars/VA_3.0_0.6_0.8_1.0_1.44_3217665v0.jpeg276413781591.png,Exposedbars
379,../Dataset_new/Cracks/VA0383201611302233.jpg1298479473318.png,Cracks
3030,../Dataset_new/Exposedbars/VA_3.0_0.6_0.8_1.0_1.44_3217800v2.jpeg622274674563.png,Exposedbars
2265,../Dataset_new/Corrosionstain/VA_3.0_0.8_0.5_1.0_1.2_3217858v0.jpeg821626300181.png,Corrosionstain
739,../Dataset_new/Cracks/VA0312201709282771.jpg781192031331.png,Cracks
314,../Dataset_new/Cracks/VA1086201612121090.jpg6501285251222.png,Cracks
1665,../Dataset_new/Corrosionstain/VA_3.0_0.4_0.5_1.0_0.6_3217827v1.jpeg46964012281.png,Corrosionstain
178,../Dataset_new/Cracks/VA_2.0_0.8_0.5_1.0_0.56_21830346v0.jpeg332153206191.png,Cracks
2699,../Dataset_new/Exposedbars/VA_3.0_0.6_0.5_1.0_0.9_3217491v0.jpeg1296348277660.png,Exposedbars
1970,../Dataset_new/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217576v0.jpeg67431117495.png,Corrosionstain
509,../Dataset_new/Cracks/MS0191201710182838.jpg49374371793.png,Cracks
1276,../Dataset_new/Cracks/VA_3.0_0.4_0.5_1.0_0.6_3217668v0.jpeg21591088858278.png,Cracks
3188,../Dataset_new/Exposedbars/VA_3.0_1.0_0.5_1.0_1.5_3217617v0.jpeg29136393423.png,Exposedbars
796,../Dataset_new/Cracks/VA0545201710082864.jpg740202101151.png,Cracks
485,../Dataset_new/Cracks/VA1203201706232405.jpg8500192803.png,Cracks
2046,../Dataset_new/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217687v0.jpeg717716273.png,Corrosionstain
3428,../Dataset_new/Spalling/VA_3.0_0.6_0.5_1.0_0.63_3217470v0.jpeg5058352283.png,Spalling
1534,../Dataset_new/Corrosionstain/VA_3.0_1.0_1.0_1.0_3.0_3217721v5.jpeg454278106161.png,Corrosionstain
108,../Dataset_new/Cracks/VA_3.0_0.4_0.5_1.0_0.6_21442460v1.jpeg716384745371.png,Cracks
2070,../Dataset_new/Corrosionstain/VA_3.0_0.6_0.5_1.0_0.9_3217744v0.jpeg803733141144.png,Corrosionstain
222,../Dataset_new/Cracks/MS0277201710251076.jpg639261536939.png,Cracks
1047,../Dataset_new/Cracks/VA1090201610073072.jpg7790200781.png,Cracks
1393,../Dataset_new/Corrosionstain/MS0189201710161453.jpg12910433160.png,Corrosionstain
